Player,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FGA,FG,FTA,FT,3PA,3P,PF,PER
Aaron Gordon,27,68,68,30.0,16.19,6.56,2.98,0.79,0.79,1.39,11.13,6.26,4.57,2.78,2.48,0.89,1.89,0.3
Aaron Holiday,26,63,6,10.18,2.96,0.91,1.06,0.46,0.15,0.46,2.66,1.14,0.38,0.3,1.06,0.46,0.99,0.31
Al Horford,36,63,63,28.97,9.31,5.89,2.85,0.47,0.95,0.57,7.22,3.42,0.28,0.19,4.94,2.18,1.8,0.3
Alec Burks,31,51,8,22.07,12.84,3.11,2.21,0.7,0.2,1.1,9.03,3.91,3.71,3.01,4.72,1.91,1.91,0.24
Alex Caruso,28,67,36,21.92,5.22,2.71,2.71,1.4,0.65,1.03,4.01,1.77,1.03,0.84,2.15,0.75,2.24,0.22
Alex Len,29,26,2,5.21,1.43,1.93,0.42,0.17,0.34,0.5,1.01,0.5,0.5,0.34,0.08,0.0,0.92,0.3
Alize Johnson,26,4,0,10.42,2.5,3.47,0.42,0.42,0.0,1.39,2.08,1.11,0.69,0.42,0.69,0.0,1.11,0.36
Amir Coffey,25,50,9,10.82,2.94,0.95,0.95,0.09,0.09,0.35,2.51,0.95,1.13,0.87,0.69,0.17,0.87,0.2
Andre Drummond,29,67,0,10.44,4.93,5.42,0.41,0.58,0.33,0.9,3.37,2.05,1.56,0.82,0.0,0.0,1.4,0.34
Andre Iguodala,39,8,0,19.62,2.92,2.92,3.34,0.7,0.56,1.53,2.64,1.25,0.56,0.42,1.53,0.14,1.95,0.27
Anthony Davis,29,56,54,37.79,28.78,13.89,2.89,1.22,2.22,2.44,19.11,10.78,8.78,6.89,1.44,0.33,2.89,0.47
Anthony Edwards,21,79,79,34.93,23.87,5.63,4.27,1.55,0.68,3.2,18.92,8.64,5.14,3.88,7.08,2.62,2.33,0.31
Anthony Gill,30,59,8,8.85,2.76,1.42,0.5,0.08,0.17,0.25,1.84,1.0,0.92,0.67,0.42,0.08,1.0,0.23
Anthony Lamb,25,62,4,14.31,4.97,2.6,1.11,0.37,0.22,0.67,3.78,1.78,0.74,0.52,2.37,0.89,1.63,0.4
Bam Adebayo,25,75,75,31.8,18.75,8.46,2.94,1.1,0.74,2.3,13.69,7.35,4.96,3.95,0.18,0.0,2.57,0.4
Bismack Biyombo,30,61,14,12.13,3.65,3.65,0.76,0.25,1.19,0.68,2.88,1.7,0.93,0.34,0.0,0.0,1.61,0.29
Blake Griffin,33,41,16,12.35,3.64,3.38,1.33,0.27,0.18,0.44,2.84,1.33,0.71,0.44,1.42,0.53,1.6,0.29
Boban MarjanoviÄ‡,34,31,0,3.99,2.39,1.38,0.22,0.15,0.07,0.36,1.38,0.94,0.65,0.44,0.0,0.0,0.22,0.41
Bogdan BogdanoviÄ‡,30,54,9,27.93,14.02,3.1,2.8,0.8,0.3,1.2,11.31,5.11,1.4,1.2,6.71,2.7,1.6,0.25
Bojan BogdanoviÄ‡,33,59,59,32.53,21.89,3.85,2.63,0.61,0.1,2.33,15.1,7.4,5.17,4.56,6.08,2.53,1.93,0.3
Bol Bol,23,70,33,17.4,7.37,4.69,0.81,0.32,0.97,1.3,5.5,2.99,1.21,0.97,1.3,0.32,1.05,0.37
Bradley Beal,29,50,50,31.19,21.6,3.63,5.03,0.84,0.65,2.7,16.39,8.29,4.28,3.54,4.1,1.49,1.96,0.5
Brandon Clarke,26,56,8,19.95,10.23,5.63,1.33,0.61,0.72,1.02,6.34,4.19,2.46,1.84,0.1,0.0,2.35,0.24
Brandon Ingram,25,45,45,36.59,26.43,5.88,6.21,0.75,0.43,3.53,19.9,9.63,6.42,5.67,3.85,1.5,2.78,0.45
Brook Lopez,34,78,78,27.66,14.47,6.1,1.18,0.45,2.27,1.27,10.46,5.55,2.18,1.73,4.28,1.55,2.37,0.34
Bruce Brown,26,80,31,25.9,10.45,3.73,3.09,1.0,0.55,1.36,8.45,4.09,1.73,1.36,2.91,1.0,2.18,0.27
Bruno Fernando,72,78,8,23.89,10.01,8.17,1.67,0.35,2.02,1.58,7.29,3.87,3.07,2.2,0.44,0.0,4.3,0.36
Bryn Forbes,29,25,0,9.65,3.25,0.54,0.63,0.27,0.09,0.45,2.98,1.08,0.54,0.54,1.62,0.54,0.81,0.21
