Player,G,PTS,TRB,AST,STL,BLK,TOV,FGA,FG,FTA,FT,3PA,3P,PER
Precious Achiuwa,61,5.0,3.4,0.5,0.3,0.5,0.7,3.7,2.0,1.8,0.9,0.0,0.0,0.1
Jaylen Adams,7,0.3,0.4,0.3,0.0,0.0,0.0,1.1,0.1,0.0,0.0,0.3,0.0,0.0
Steven Adams,58,7.6,8.9,1.9,0.9,0.7,1.3,5.3,3.3,2.3,1.0,0.1,0.0,0.27
Bam Adebayo,64,18.7,9.0,5.4,1.2,1.0,2.6,12.5,7.1,5.5,4.4,0.1,0.0,0.41
LaMarcus Aldridge,26,13.5,4.5,1.9,0.4,1.1,1.0,11.4,5.4,1.8,1.6,3.1,1.2,0.55
LaMarcus Aldridge,21,13.7,4.5,1.7,0.4,0.9,1.0,11.8,5.5,1.8,1.5,3.6,1.3,0.65
LaMarcus Aldridge,5,12.8,4.8,2.6,0.6,2.2,1.4,9.6,5.0,2.0,2.0,1.0,0.8,3.4
Ty-Shon Alexander,15,0.6,0.7,0.4,0.0,0.1,0.2,0.8,0.2,0.1,0.1,0.6,0.1,0.07
Nickeil Alexander-Walker,46,11.0,3.1,2.2,1.0,0.5,1.5,10.0,4.2,1.4,1.0,4.8,1.7,0.22
Grayson Allen,50,10.6,3.2,2.2,0.9,0.2,1.0,8.3,3.5,1.8,1.6,5.5,2.1,0.22
Jarrett Allen,63,12.8,10.0,1.7,0.5,1.4,1.6,7.7,4.7,4.6,3.2,0.3,0.1,0.32
Jarrett Allen,12,11.2,10.4,1.7,0.6,1.6,1.8,5.4,3.7,5.1,3.8,0.0,0.0,1.73
Jarrett Allen,51,13.2,9.9,1.7,0.5,1.4,1.5,8.2,5.0,4.5,3.1,0.4,0.1,0.4
Al-Farouq Aminu,23,4.4,4.8,1.3,0.8,0.4,1.2,4.3,1.7,1.0,0.8,1.6,0.3,0.33
Al-Farouq Aminu,17,5.5,5.4,1.7,1.0,0.5,1.5,5.2,2.1,1.0,0.8,1.8,0.4,0.55
Al-Farouq Aminu,6,1.5,3.2,0.3,0.3,0.0,0.5,1.7,0.3,0.8,0.7,1.0,0.2,0.55
Kyle Anderson,69,12.4,5.7,3.6,1.2,0.8,1.2,9.5,4.5,2.7,2.1,3.8,1.4,0.24
Giannis Antetokounmpo,61,28.1,11.0,5.9,1.2,1.2,3.4,18.0,10.3,9.5,6.5,3.6,1.1,0.55
Kostas Antetokounmpo,15,0.8,1.3,0.1,0.1,0.3,0.7,0.7,0.2,0.9,0.4,0.0,0.0,0.06
Thanasis Antetokounmpo,57,2.9,2.2,0.8,0.4,0.2,0.8,2.4,1.2,0.9,0.4,0.5,0.1,0.07
Carmelo Anthony,69,13.4,3.1,1.5,0.7,0.6,0.9,11.3,4.7,2.2,2.0,4.7,1.9,0.17
Cole Anthony,47,12.9,4.7,4.1,0.6,0.4,2.3,11.7,4.7,2.8,2.3,3.7,1.2,0.27
