Player,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FGA,FG,FTA,FT,3PA,3P,PF,PER
Aaron Gordon,75,100,100,83.0,37.2,17.0,9.6,2.0,2.1,5.8,29.9,13.8,9.0,5.7,10.6,3.6,5.4,0.43
Aaron Holiday,24,66,8,17.8,7.2,1.3,1.9,0.7,0.2,1.0,6.6,2.6,1.3,1.0,2.8,1.0,1.4,0.09
Al Horford,34,28,28,27.9,14.2,6.7,3.4,0.9,0.9,1.0,12.9,5.8,0.8,0.6,5.4,2.0,1.7,0.64
Alec Burks,29,49,5,25.6,12.7,4.6,2.2,0.6,0.3,1.0,10.2,4.3,2.4,2.1,5.0,2.1,2.1,0.27
Alex Caruso,26,58,6,21.0,6.4,2.9,2.8,1.1,0.3,1.3,5.3,2.3,1.3,0.8,2.4,0.9,1.9,0.15
Alex Len,81,128,84,42.0,16.0,10.1,2.0,0.7,2.9,2.8,10.4,6.3,4.6,2.7,1.6,0.6,5.5,0.18
Alize Johnson,24,18,0,10.5,5.2,5.0,0.8,0.3,0.3,0.5,3.8,2.2,0.7,0.7,0.3,0.1,0.9,0.53
Amir Coffey,23,44,1,9.0,3.2,1.0,0.5,0.2,0.0,0.3,2.3,1.0,0.9,0.6,1.3,0.5,0.7,0.07
Andre Drummond,81,92,92,80.7,44.3,35.7,6.0,4.1,3.3,7.9,36.7,18.2,13.3,8.0,0.5,0.0,9.8,0.67
Andre Iguodala,37,63,5,21.3,4.4,3.5,2.3,0.9,0.6,1.1,3.9,1.5,0.6,0.4,2.9,1.0,1.4,0.13
Anthony Davis,27,36,36,32.3,21.8,7.9,3.1,1.3,1.6,2.1,17.0,8.4,5.9,4.4,2.8,0.7,1.7,0.65
Anthony Edwards,19,72,55,32.1,19.3,4.7,2.9,1.1,0.5,2.2,16.8,7.0,3.8,2.9,7.2,2.4,1.8,0.22
Anthony Gill,28,26,4,8.4,3.1,2.0,0.4,0.4,0.2,0.3,2.3,1.2,0.6,0.5,0.9,0.3,1.0,0.18
Anthony Lamb,23,24,3,17.3,5.5,2.9,1.0,0.3,0.2,0.8,4.9,1.9,0.9,0.8,3.0,1.0,1.4,0.25
Bam Adebayo,23,64,64,33.5,18.7,9.0,5.4,1.2,1.0,2.6,12.5,7.1,5.5,4.4,0.1,0.0,2.3,0.41
Bismack Biyombo,28,66,36,20.4,5.0,5.3,1.2,0.3,1.1,1.1,3.7,2.2,1.6,0.7,0.0,0.0,2.1,0.14
Blake Griffin,93,92,60,78.6,33.3,14.8,9.3,2.1,0.9,4.1,27.3,11.5,7.7,5.8,13.8,4.7,7.2,0.42
Boban MarjanoviÄ‡,32,33,3,8.2,4.7,3.9,0.3,0.1,0.2,0.4,3.7,1.9,1.2,0.9,0.2,0.0,0.9,0.2
Bogdan BogdanoviÄ‡,28,44,27,29.7,16.4,3.6,3.3,1.1,0.3,1.2,12.8,6.1,1.0,0.9,7.6,3.3,2.3,0.38
Bojan BogdanoviÄ‡,31,72,72,30.8,17.0,3.9,1.9,0.6,0.1,1.8,12.8,5.6,3.7,3.2,6.4,2.5,1.6,0.19
Bol Bol,21,32,2,5.0,2.2,0.8,0.2,0.1,0.3,0.4,1.8,0.8,0.5,0.3,0.8,0.3,0.4,0.06
Bradley Beal,27,60,60,35.8,31.3,4.7,4.4,1.2,0.4,3.1,23.0,11.2,7.7,6.8,6.2,2.2,2.3,0.44
Brandon Clarke,24,59,16,24.0,10.3,5.6,1.6,1.0,0.9,0.6,8.4,4.3,1.9,1.3,1.3,0.3,1.4,0.24
Brandon Ingram,23,61,61,34.3,23.8,4.9,4.9,0.7,0.6,2.5,18.0,8.4,5.2,4.6,6.1,2.3,2.0,0.36
Brook Lopez,32,70,70,27.2,12.3,5.0,0.7,0.6,1.5,0.9,9.1,4.6,2.0,1.7,4.0,1.4,2.1,0.21
Bruce Brown,24,65,37,22.3,8.8,5.4,1.6,0.9,0.4,0.8,6.5,3.6,1.8,1.3,0.9,0.3,2.2,0.2
Bruno Fernando,22,33,0,6.8,1.5,2.4,0.3,0.1,0.1,0.6,1.3,0.5,0.7,0.5,0.1,0.0,0.7,0.08
Bryn Forbes,27,70,10,19.3,10.0,1.6,0.6,0.3,0.0,0.6,7.6,3.6,0.9,0.7,4.9,2.2,1.1,0.11
Buddy Hield,28,71,71,34.3,16.6,4.7,3.6,0.9,0.4,1.8,14.0,5.7,1.5,1.2,10.2,4.0,2.5,0.22
CJ McCollum,29,47,47,34.0,23.1,3.9,4.7,0.9,0.4,1.4,18.8,8.6,2.8,2.3,8.9,3.6,1.9,0.44
Caleb Martin,25,53,3,15.4,5.0,2.7,1.3,0.7,0.2,0.6,4.8,1.8,1.2,0.8,2.4,0.6,1.2,0.11
Cameron Johnson,24,60,11,24.0,9.6,3.3,1.4,0.6,0.3,0.7,8.1,3.4,1.0,0.8,5.6,2.0,1.4,0.16
Caris LeVert,78,94,78,92.3,59.4,13.5,16.1,4.0,1.8,6.6,51.5,22.7,10.8,8.7,16.4,5.4,6.3,0.61
Chris Boucher,28,60,14,24.2,13.6,6.7,1.1,0.6,1.9,0.8,9.3,4.8,3.2,2.5,3.9,1.5,2.8,0.3
Clint Capela,26,63,63,30.1,15.2,14.3,0.8,0.7,2.0,1.2,11.0,6.6,3.6,2.1,0.0,0.0,2.3,0.41
Cody Martin,25,52,10,16.3,4.0,3.1,1.7,0.7,0.2,0.8,3.6,1.6,0.8,0.5,1.1,0.3,1.0,0.13
Cole Anthony,20,47,34,27.1,12.9,4.7,4.1,0.6,0.4,2.3,11.7,4.7,2.8,2.3,3.7,1.2,2.1,0.27
Cory Joseph,87,126,26,70.9,26.8,8.0,11.4,3.1,1.0,4.1,21.8,10.4,4.7,3.8,6.2,2.1,6.6,0.27
Damian Jones,100,78,20,54.8,18.6,12.2,2.5,1.0,3.0,2.6,9.9,7.1,5.9,4.4,0.4,0.1,8.3,0.39
Damian Lillard,30,67,67,35.8,28.8,4.2,7.5,0.9,0.3,3.0,19.9,9.0,7.2,6.7,10.5,4.1,1.5,0.41
Damion Lee,28,57,1,18.9,6.5,3.2,1.3,0.7,0.1,0.5,4.8,2.2,0.8,0.7,3.4,1.4,1.6,0.15
Daniel Gafford,66,108,22,44.7,21.8,13.2,1.5,1.6,4.3,2.3,13.0,8.9,6.2,4.2,0.0,0.0,5.4,0.31
Danny Green,33,69,69,28.0,9.5,3.8,1.7,1.3,0.8,1.0,7.9,3.2,0.6,0.4,6.3,2.5,1.8,0.16
Danuel House Jr.,27,36,23,25.9,8.8,3.7,1.9,0.6,0.4,1.0,7.6,3.1,1.8,1.1,4.3,1.5,1.9,0.26
Darius Bazley,20,55,55,31.2,13.7,7.2,1.8,0.5,0.5,2.2,12.5,5.0,3.2,2.3,5.2,1.5,1.1,0.24
Darius Garland,21,54,50,33.1,17.4,2.4,6.1,1.2,0.1,3.0,14.9,6.7,2.4,2.1,4.9,1.9,2.0,0.29
De'Aaron Fox,23,58,58,35.1,25.2,3.5,7.2,1.5,0.5,3.0,19.1,9.1,7.2,5.2,5.5,1.8,2.9,0.39
De'Andre Hunter,23,23,19,29.5,15.0,4.8,1.9,0.8,0.5,1.3,10.8,5.2,3.7,3.2,4.1,1.3,2.6,0.68
DeAndre Jordan,32,57,43,21.9,7.5,7.5,1.6,0.3,1.1,1.5,4.4,3.3,1.6,0.8,0.0,0.0,2.0,0.26
DeMar DeRozan,31,61,61,33.7,21.6,4.2,6.9,0.9,0.2,2.0,15.1,7.5,7.2,6.3,1.2,0.3,2.1,0.38
Deandre Ayton,22,69,69,30.7,14.4,10.5,1.4,0.6,1.2,1.5,10.0,6.2,2.5,1.9,0.3,0.1,2.8,0.32
Deni Avdija,20,54,32,23.3,6.3,4.9,1.2,0.6,0.3,0.6,5.8,2.4,0.8,0.5,3.1,1.0,2.6,0.17
Derrick Jones Jr.,23,58,43,22.7,6.8,3.5,0.8,0.6,0.9,0.6,5.2,2.5,1.6,1.0,2.3,0.7,2.2,0.15
Desmond Bane,22,68,17,22.3,9.2,3.1,1.7,0.6,0.2,0.9,7.3,3.4,0.7,0.6,4.0,1.7,1.8,0.15
Devin Booker,24,67,67,33.9,25.6,4.2,4.3,0.8,0.2,3.1,19.2,9.3,5.9,5.1,5.5,1.9,2.7,0.32
Devon Dotson,21,11,0,4.5,2.1,0.5,0.6,0.4,0.0,0.0,1.9,1.0,0.0,0.0,0.6,0.1,0.3,0.25
Devonte' Graham,25,55,44,30.2,14.8,2.7,5.4,0.9,0.1,1.5,12.2,4.6,2.9,2.4,8.7,3.3,1.4,0.26
Dewayne Dedmon,31,16,0,13.1,7.1,5.4,0.8,0.6,0.4,0.8,4.1,2.9,1.7,1.3,0.3,0.1,2.3,0.74
Dillon Brooks,25,67,67,29.8,17.2,2.9,2.3,1.2,0.4,1.8,15.4,6.4,2.9,2.4,5.6,1.9,3.5,0.19
Donte DiVincenzo,24,66,66,27.5,10.4,5.8,3.1,1.1,0.2,1.4,9.1,3.8,1.1,0.8,5.2,2.0,1.7,0.21
Dorian Finney-Smith,27,60,60,32.0,9.8,5.4,1.7,0.9,0.4,0.8,7.8,3.7,0.7,0.5,5.0,2.0,2.3,0.22
Doug McDermott,29,66,29,24.5,13.6,3.3,1.3,0.3,0.1,0.8,10.1,5.4,1.5,1.2,4.3,1.7,1.8,0.19
Draymond Green,30,63,63,31.5,7.0,7.1,8.9,1.7,0.8,3.0,6.0,2.7,1.4,1.1,2.0,0.5,3.1,0.3
Drew Eubanks,23,54,3,14.0,5.8,4.5,0.8,0.3,0.9,0.8,3.8,2.1,2.0,1.4,0.0,0.0,1.6,0.17
