Player,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FGA,FG,FTA,FT,3PA,3P,PF,PER
A.J. Green,23,35,1,9.9,4.4,1.3,0.6,0.2,0.0,0.3,3.6,1.5,0.1,0.1,3.0,1.3,0.9,0.12
A.J. Lawson,66,30,0,16.8,9.6,3.8,0.2,0.2,0.0,0.4,7.0,4.0,1.1,0.2,3.5,1.4,2.4,0.32
AJ Griffin,19,72,12,19.5,8.9,2.1,1.0,0.6,0.2,0.6,7.4,3.4,0.7,0.6,3.6,1.4,1.2,0.11
Aaron Gordon,27,68,68,30.2,16.3,6.6,3.0,0.8,0.8,1.4,11.2,6.3,4.6,2.8,2.5,0.9,1.9,0.29
Aaron Holiday,26,63,6,13.4,3.9,1.2,1.4,0.6,0.2,0.6,3.5,1.5,0.5,0.4,1.4,0.6,1.3,0.07
Aaron Nesmith,23,73,60,24.9,10.1,3.8,1.3,0.8,0.5,1.0,8.1,3.5,1.9,1.6,4.3,1.6,3.2,0.15
Al Horford,36,63,63,30.5,9.8,6.2,3.0,0.5,1.0,0.6,7.6,3.6,0.3,0.2,5.2,2.3,1.9,0.25
Alec Burks,31,51,8,22.0,12.8,3.1,2.2,0.7,0.2,1.1,9.0,3.9,3.7,3.0,4.7,1.9,1.9,0.24
Aleksej Pokusevski,21,34,25,20.6,8.1,4.7,1.9,0.6,1.3,1.3,7.3,3.2,1.0,0.6,3.1,1.1,1.7,0.32
Alex Caruso,28,67,36,23.5,5.6,2.9,2.9,1.5,0.7,1.1,4.3,1.9,1.1,0.9,2.3,0.8,2.4,0.15
Alex Len,29,26,2,6.2,1.7,2.3,0.5,0.2,0.4,0.6,1.2,0.6,0.6,0.4,0.1,0.0,1.1,0.14
Alize Johnson,26,4,0,7.5,1.8,2.5,0.3,0.3,0.0,1.0,1.5,0.8,0.5,0.3,0.5,0.0,0.8,0.75
Amir Coffey,25,50,9,12.5,3.4,1.1,1.1,0.1,0.1,0.4,2.9,1.1,1.3,1.0,0.8,0.2,1.0,0.07
Andre Drummond,29,67,0,12.7,6.0,6.6,0.5,0.7,0.4,1.1,4.1,2.5,1.9,1.0,0.0,0.0,1.7,0.16
Andre Iguodala,39,8,0,14.1,2.1,2.1,2.4,0.5,0.4,1.1,1.9,0.9,0.4,0.3,1.1,0.1,1.4,0.66
Andrew Nembhard,23,75,63,27.6,9.5,2.7,4.5,0.9,0.2,1.7,8.6,3.8,0.8,0.7,3.5,1.2,2.4,0.15
Anthony Davis,29,56,54,34.0,25.9,12.5,2.6,1.1,2.0,2.2,17.2,9.7,7.9,6.2,1.3,0.3,2.6,0.58
Anthony Edwards,21,79,79,36.0,24.6,5.8,4.4,1.6,0.7,3.3,19.5,8.9,5.3,4.0,7.3,2.7,2.4,0.28
Anthony Gill,30,59,8,10.6,3.3,1.7,0.6,0.1,0.2,0.3,2.2,1.2,1.1,0.8,0.5,0.1,1.2,0.07
Anthony Lamb,25,62,4,19.3,6.7,3.5,1.5,0.5,0.3,0.9,5.1,2.4,1.0,0.7,3.2,1.2,2.2,0.14
Ayo Dosunmu,23,80,51,26.2,8.6,2.8,2.6,0.8,0.3,1.2,7.1,3.5,1.0,0.8,2.4,0.7,2.3,0.13
Bam Adebayo,25,75,75,34.6,20.4,9.2,3.2,1.2,0.8,2.5,14.9,8.0,5.4,4.3,0.2,0.0,2.8,0.32
