Player,G,PTS,TRB,AST,STL,BLK,TOV,FGA,FG,FTA,FT,3PA,3P,PER
Precious Achiuwa,55,9.85,6.43,0.96,0.64,0.54,1.18,7.82,3.86,2.46,1.71,2.14,0.54,0.22
Steven Adams,42,11.59,15.5,3.1,1.21,1.48,2.56,8.49,4.99,4.18,1.48,0.0,0.0,0.58
Bam Adebayo,75,19.14,8.63,3.0,1.13,0.75,2.35,13.98,7.51,5.07,4.03,0.19,0.0,0.3
Ochai Agbaji,59,6.36,1.69,0.89,0.24,0.24,0.56,5.23,2.25,0.97,0.72,3.14,1.13,0.1
Santi Aldama,77,6.2,3.31,0.9,0.41,0.41,0.55,4.68,2.2,1.31,0.96,2.41,0.83,0.1
Nickeil Alexander-Walker,59,4.63,1.27,1.34,0.37,0.3,0.67,3.74,1.64,0.75,0.52,2.02,0.75,0.08
Nickeil Alexander-Walker,36,7.44,1.89,2.48,0.83,0.47,1.53,5.55,2.71,1.3,0.94,2.83,1.18,0.24
Nickeil Alexander-Walker,23,6.98,2.13,1.66,0.36,0.36,0.47,6.39,2.49,1.07,0.71,3.67,1.3,0.3
Grayson Allen,72,7.62,2.42,1.69,0.66,0.15,0.73,5.64,2.49,1.32,1.17,3.74,1.47,0.12
Jarrett Allen,68,16.54,11.33,1.97,0.93,1.39,1.62,10.64,6.82,3.82,2.78,0.12,0.0,0.38
Jose Alvarado,61,7.34,1.88,2.45,0.9,0.16,1.06,6.52,2.69,1.06,0.9,3.26,1.14,0.12
Kyle Anderson,69,6.72,3.79,3.5,0.79,0.64,1.07,5.14,2.64,1.43,1.0,1.07,0.43,0.16
Giannis Antetokounmpo,63,30.77,11.67,5.64,0.79,0.79,3.86,20.08,11.08,12.17,7.82,2.67,0.69,0.51
Thanasis Antetokounmpo,37,1.21,1.04,0.35,0.09,0.09,0.26,1.04,0.43,0.52,0.26,0.17,0.0,0.04
Cole Anthony,60,11.48,4.24,3.44,0.53,0.44,1.32,9.01,4.06,2.47,2.21,3.0,1.15,0.23
OG Anunoby,67,21.44,6.38,2.55,2.42,0.89,2.55,16.85,8.04,3.19,2.68,7.02,2.68,0.33
Ryan Arcidiacono,20,1.55,0.95,1.43,0.36,0.0,0.48,2.26,0.59,0.0,0.0,1.43,0.48,0.11
Ryan Arcidiacono,11,0.4,0.53,0.26,0.26,0.0,0.13,0.66,0.13,0.0,0.0,0.4,0.13,0.07
Ryan Arcidiacono,9,3.15,1.45,2.78,0.36,0.0,0.85,4.36,1.09,0.0,0.0,2.66,0.97,0.4
Deni Avdija,76,7.3,5.08,2.22,0.71,0.32,1.27,6.03,2.62,1.75,1.27,2.46,0.71,0.13
Deandre Ayton,67,21.43,11.91,2.02,0.71,0.95,2.14,15.72,9.29,3.57,2.74,0.48,0.12,0.42
Udoka Azubuike,36,3.82,3.6,0.33,0.22,0.44,0.55,2.18,1.75,0.66,0.22,0.0,0.0,0.2
Marvin Bagley III,42,15.05,8.03,1.13,0.63,0.88,1.38,11.41,6.02,3.26,2.38,2.01,0.63,0.43
Patrick Baldwin Jr.,31,4.54,1.51,0.47,0.23,0.12,0.47,4.08,1.63,0.23,0.12,3.14,1.16,0.13
LaMelo Ball,36,38.45,10.56,13.86,2.15,0.5,5.94,33.0,13.53,5.61,4.62,17.49,6.6,1.09
Mo Bamba,49,7.24,5.05,0.99,0.33,0.99,0.66,5.38,2.63,1.43,0.88,2.74,1.1,0.22
Mo Bamba,40,9.27,5.84,1.4,0.38,1.27,0.76,6.86,3.43,1.65,1.14,3.43,1.4,0.33
Mo Bamba,9,4.86,6.04,0.53,0.13,0.79,1.18,3.94,1.58,1.58,0.92,2.36,0.79,0.91
Paolo Banchero,72,15.58,5.37,2.88,0.62,0.39,2.18,12.15,5.22,5.76,4.28,3.12,0.93,0.19
Desmond Bane,58,26.77,6.23,5.48,1.25,0.5,2.74,20.17,9.71,4.36,3.86,8.72,3.61,0.46
Dalano Banton,31,5.11,1.67,1.33,0.44,0.44,0.67,4.67,2.0,0.89,0.56,1.78,0.56,0.17
Dominick Barlow,28,4.62,4.27,1.07,0.47,0.83,0.59,3.68,1.9,1.07,0.71,0.12,0.0,0.31
Harrison Barnes,82,7.39,2.22,0.79,0.34,0.05,0.49,4.73,2.27,2.46,2.12,2.12,0.79,0.09
Scottie Barnes,77,11.65,5.03,3.65,0.84,0.61,1.52,10.05,4.57,2.44,1.9,2.21,0.61,0.18
